Date,ES,6E,6M,ZN,ZC,GC,combined
1999-10-28,-2786.9400000000096,-5038.239999999991,18489.120000000014,-2437.179999999993,14658.620000000228,-3079.279999999837,19806.100000000413
1999-10-29,-2579.30000000001,-5038.239999999991,18184.500000000015,-2437.179999999993,15158.620000000228,-2909.279999999837,20379.12000000041
1999-11-01,-2479.30000000001,-5038.239999999991,18634.500000000015,-2437.179999999993,14903.500000000233,-2937.2799999998406,20646.000000000415
1999-11-02,-2559.30000000001,-5038.239999999991,20921.999999999865,-2437.179999999993,13666.000000000233,-2957.2799999998406,21596.000000000262
1999-11-03,-2639.30000000001,-5038.239999999991,21521.999999999865,-2437.179999999993,13660.880000000237,-2963.2799999998406,22104.880000000267
1999-11-04,-2799.30000000001,-5038.239999999991,20846.999999999865,-2437.179999999993,13895.520000000251,-2909.279999999837,21558.520000000288
1999-11-05,-2786.80000000001,-5038.239999999991,22946.999999999865,-2437.179999999993,13083.020000000251,-2915.2799999998406,22852.52000000028
1999-11-08,-2674.30000000001,-5038.239999999991,22834.499999999865,-2437.179999999993,13570.520000000251,-2959.279999999837,23296.020000000288
1999-11-09,-2754.30000000001,-5038.239999999991,23659.499999999865,-2437.179999999993,16658.02000000025,-3097.2799999998406,26990.52000000028
1999-11-10,-2971.80000000001,-5038.239999999991,23921.999999999865,-2437.179999999993,17785.28000000026,-2957.2799999998406,28302.78000000029
1999-11-12,-2986.6600000000108,-5038.239999999991,23884.499999999865,-2437.179999999993,17225.04000000027,-2965.2799999998406,27682.1800000003
1999-11-15,-3129.1600000000108,-5038.239999999991,24147.000000000015,-2437.179999999993,16737.54000000027,-3029.279999999837,27250.68000000045
1999-11-16,-3064.1600000000108,-5038.239999999991,25346.999999999865,-2437.179999999993,18032.420000000275,-3045.2799999998406,29794.560000000303
1999-11-17,-3119.1600000000108,-5038.239999999991,25309.499999999865,-2437.179999999993,19252.30000000028,-3033.2799999998406,30933.940000000308
1999-11-18,-3114.1600000000108,-5038.239999999991,25567.379999999863,-2437.179999999993,19252.30000000028,-3047.2799999998406,31182.820000000313
1999-11-19,-3114.0200000000114,-5038.239999999991,25467.379999999863,-2437.179999999993,18114.80000000028,-3053.2799999998406,29939.460000000312
1999-11-22,-3114.0200000000114,-5038.239999999991,25467.379999999863,-2437.179999999993,17784.680000000284,-3123.2799999998406,29539.34000000031
1999-11-23,-3114.0200000000114,-5038.239999999991,26067.379999999863,-2437.179999999993,18309.680000000284,-3135.2799999998406,30652.340000000317
1999-11-24,-3114.0200000000114,-5038.239999999991,23317.379999999863,-2437.179999999993,21109.680000000284,-2969.279999999837,30868.340000000317
1999-11-29,-3114.0200000000114,-5038.239999999991,23317.379999999863,-2437.179999999993,21454.56000000029,-2959.279999999837,31223.22000000032
1999-11-30,-3114.0200000000114,-5044.859999999986,22067.379999999863,-2437.179999999993,19986.940000000293,-2935.99999999984,28522.260000000326
1999-12-01,-3114.0200000000114,-4244.860000000015,21217.379999999863,-2437.179999999993,20156.820000000298,-2773.9999999998363,28804.140000000305
1999-12-02,-3114.0200000000114,-4207.359999999986,24317.379999999863,-2437.179999999993,20806.820000000298,-2614.9999999998363,32750.640000000338
1999-12-03,-3114.0200000000114,-6719.860000000015,23212.759999999864,-2437.179999999993,18856.820000000298,-2494.719999999841,27303.8000000003
1999-12-06,-3114.0200000000114,-7013.9800000000105,23962.759999999864,-2437.179999999993,19664.200000000303,-2798.719999999834,28263.060000000318
1999-12-07,-3114.0200000000114,-7013.9800000000105,24300.260000000013,-2437.179999999993,21614.200000000303,-2746.719999999841,30602.560000000463
1999-12-08,-3114.0200000000114,-7013.9800000000105,25350.259999999864,-2437.179999999993,23259.080000000307,-2597.4399999998423,33446.720000000314
1999-12-09,-3114.0200000000114,-7013.9800000000105,25987.759999999864,-2437.179999999993,22566.460000000312,-2632.4399999998423,33356.60000000032
1999-12-10,-3114.0200000000114,-7013.9800000000105,25650.259999999864,-2437.179999999993,23911.340000000317,-2687.4399999998423,34308.98000000032
1999-12-13,-3114.0200000000114,-7013.9800000000105,25725.259999999864,-2437.179999999993,22398.840000000317,-2685.159999999836,32873.76000000033
1999-12-14,-3114.0200000000114,-7013.9800000000105,27145.63999999986,-2437.179999999993,22536.340000000317,-2841.1599999998434,34275.64000000032
1999-12-15,-3114.0200000000114,-7013.9800000000105,27345.63999999986,-2437.179999999993,21986.340000000317,-2799.159999999836,33967.64000000033
1999-12-16,-3114.0200000000114,-7013.9800000000105,27595.63999999986,-2437.179999999993,21156.22000000032,-2895.159999999836,33291.52000000033
1999-12-17,-3114.0200000000114,-7013.9800000000105,27545.63999999986,-2437.179999999993,19806.22000000032,-2933.8799999998373,31852.80000000033
1999-12-20,-3114.0200000000114,-7013.9800000000105,27945.63999999986,-2437.179999999993,20401.100000000326,-3136.8799999998373,32644.680000000335
1999-12-21,-3114.0200000000114,-7013.9800000000105,27545.63999999986,-2437.179999999993,19988.600000000326,-3129.8799999998373,31839.180000000335
1999-12-22,-3116.380000000012,-7013.9800000000105,26895.63999999986,-2440.9999999999927,19438.600000000326,-3115.8799999998373,30647.000000000335
1999-12-23,-3128.880000000012,-7013.9800000000105,23545.63999999986,-2534.7499999999927,19438.600000000326,-3206.8799999998373,27099.750000000335
1999-12-27,-3125.130000000012,-7013.9800000000105,25341.019999999862,-2331.6249999999927,19301.100000000326,-3328.5999999998385,28842.785000000335
1999-12-28,-3106.380000000012,-7013.9800000000105,25041.019999999862,-2487.8749999999927,19851.100000000326,-3382.5999999998457,28901.285000000327
1999-12-29,-3113.880000000012,-7013.9800000000105,25003.51999999986,-2597.2499999999927,19438.600000000326,-3220.5999999998385,28496.41000000033
1999-12-30,-3463.7400000000125,-7013.9800000000105,24291.019999999862,-1800.3749999999927,20263.600000000326,-2854.5999999998457,29421.925000000327
2000-01-04,-3450.9600000000137,-7013.9800000000105,25041.019999999862,-1159.7499999999927,19983.48000000033,-2758.5999999998385,30641.210000000334
2000-01-05,-3450.9600000000137,-7013.9800000000105,24548.900000000012,-1503.4999999999927,19608.48000000033,-2800.5999999998385,29388.340000000488
2000-01-06,-3450.9600000000137,-7013.9800000000105,25273.899999999914,-1909.7499999999927,18108.48000000033,-2845.3199999998396,28162.37000000039
2000-01-07,-3453.3200000000143,-7013.9800000000105,26623.899999999914,-1675.3749999999927,17233.48000000033,-2831.3199999998396,28883.385000000388
2000-01-10,-3349.5700000000143,-7013.9800000000105,26019.279999999915,-894.1249999999927,17483.48000000033,-2967.039999999848,29278.04500000038
2000-01-11,-3287.0700000000143,-7020.600000000006,25194.279999999915,-722.2499999999927,13483.48000000033,-2919.039999999848,24728.800000000385
2000-01-12,-3372.0700000000143,-6283.100000000006,26577.159999999916,-1331.6249999999927,10718.120000000345,-3041.7599999998347,23266.725000000413
