Date,TA,M,RB,FG,MA,HC,V,RM,AG,combined
2016-10-12,-6080,-11105,21300,10155,-4510,11905,19235,-13190,860,28570
2016-10-13,-6120,-10725,21295,10175,-4510,12295,19480,-12775,860,29975
2016-10-14,-6800,-10505,21575,9635,-4510,12525,20980,-12390,860,31370
2016-10-17,-7140,-10255,21535,9475,-4510,12405,21280,-12115,860,31535
2016-10-18,-7200,-10585,21455,9375,-4510,12625,22630,-12395,860,32255
2016-10-19,-8100,-10205,21855,8975,-4510,13065,23755,-11915,860,33780
2016-10-20,-7625,-10425,21695,8695,-4510,12975,23005,-11825,860,32845
2016-10-21,-7885,-10095,21825,8575,-4510,13110,24655,-11665,860,34870
2016-10-24,-7815,-10185,22735,8335,-4510,14650,26755,-11865,860,38960
2016-10-25,-7705,-9575,22495,8435,-4510,14085,26230,-11255,860,39060
2016-10-26,-7635,-9125,22415,8915,-4510,13940,26830,-10865,860,40825
2016-10-27,-7935,-9195,23095,8715,-4510,15060,30355,-10905,860,45540
2016-10-28,-8015,-9725,23455,8735,-4510,16400,33425,-11255,860,49370
2016-10-31,-7745,-9815,23495,7915,-4510,17520,33275,-11310,860,49685
2016-11-01,-7405,-10505,23345,7675,-4510,17640,32225,-12950,860,46375
2016-11-02,-7505,-10425,23875,7335,-4510,18060,32475,-12955,860,47210
2016-11-03,-7285,-10595,23985,7515,-4510,18100,31375,-13195,860,46250
2016-11-04,-7565,-10205,25545,6535,-4510,21200,31825,-12775,860,50910
2016-11-07,-7615,-9955,25055,6615,-4510,19955,34275,-12585,860,52095
2016-11-08,-7815,-9915,27055,5875,-4510,21825,37025,-12725,860,57675
2016-11-09,-8385,-9115,27210,5355,-4510,21805,36875,-11545,860,58550
2016-11-10,-9385,-9105,27210,4435,-4510,23065,39625,-11195,860,61000
2016-11-11,-7565,-10385,27210,5675,-4510,21705,37125,-12545,860,57570
